group,Time_min,AvgActivity
001_N2_NT_OAP,2700,18
001_N2_NT_OAP,2715,11
001_N2_NT_OAP,2730,15
001_N2_NT_OAP,2745,12
001_N2_NT_OAP,2760,20
001_N2_NT_OAP,2775,22
001_N2_NT_OAP,2790,24
001_N2_NT_OAP,2805,17
001_N2_NT_OAP,2820,14
001_N2_NT_OAP,2835,18
001_N2_NT_OAP,2850,20
001_N2_NT_OAP,2865,20
001_N2_NT_OAP,2880,16
001_N2_NT_OAP,2895,21
001_N2_NT_OAP,2910,18
001_N2_NT_OAP,2925,15
001_N2_NT_OAP,2940,17
001_N2_NT_OAP,2955,20
001_N2_NT_OAP,2970,15
001_N2_NT_OAP,2985,25
001_N2_NT_OAP,3000,21
001_N2_NT_OAP,3015,16
001_N2_NT_OAP,3030,14
001_N2_NT_OAP,3045,12
001_N2_NT_OAP,3060,11
001_N2_NT_OAP,3075,10
001_N2_NT_OAP,3090,14
001_N2_NT_OAP,3105,21
001_N2_NT_OAP,3120,18
001_N2_NT_OAP,3135,18
001_N2_NT_OAP,3150,21
001_N2_NT_OAP,3165,17
001_N2_NT_OAP,3180,14
001_N2_NT_OAP,3195,15
001_N2_NT_OAP,3210,14
001_N2_NT_OAP,3225,16
001_N2_NT_OAP,3240,21
001_N2_NT_OAP,3255,14
001_N2_NT_OAP,3270,19
001_N2_NT_OAP,3285,18
001_N2_NT_OAP,3300,12
001_N2_NT_OAP,3315,18
001_N2_NT_OAP,3330,23
001_N2_NT_OAP,3345,19
001_N2_NT_OAP,3360,18
001_N2_NT_OAP,3375,18
001_N2_NT_OAP,3390,17
001_N2_NT_OAP,3405,16
001_N2_NT_OAP,3420,16
001_N2_NT_OAP,3435,24
001_N2_NT_OAP,3450,17
001_N2_NT_OAP,3465,11
001_N2_NT_OAP,3480,17
001_N2_NT_OAP,3495,13
001_N2_NT_OAP,3510,7
001_N2_NT_OAP,3525,13
001_N2_NT_OAP,3540,13
001_N2_NT_OAP,3555,9
001_N2_NT_OAP,3570,20
001_N2_NT_OAP,3585,13
001_N2_NT_OAP,3600,14
001_N2_NT_OAP,3615,13
001_N2_NT_OAP,3630,16
001_N2_NT_OAP,3645,13
001_N2_NT_OAP,3660,8
001_N2_NT_OAP,3675,12
001_N2_NT_OAP,3690,12
001_N2_NT_OAP,3705,10
001_N2_NT_OAP,3720,11
001_N2_NT_OAP,3735,10
001_N2_NT_OAP,3750,9
001_N2_NT_OAP,3765,6
001_N2_NT_OAP,3780,8
001_N2_NT_OAP,3795,10
001_N2_NT_OAP,3810,9
001_N2_NT_OAP,3825,17
001_N2_NT_OAP,3840,12
001_N2_NT_OAP,3855,13
001_N2_NT_OAP,3870,21
001_N2_NT_OAP,3885,16
001_N2_NT_OAP,3900,9
001_N2_NT_OAP,3915,15
001_N2_NT_OAP,3930,19
001_N2_NT_OAP,3945,20
001_N2_NT_OAP,3960,12
001_N2_NT_OAP,3975,14
001_N2_NT_OAP,3990,12
001_N2_NT_OAP,4005,11
001_N2_NT_OAP,4020,15
001_N2_NT_OAP,4035,8
001_N2_NT_OAP,4050,17
001_N2_NT_OAP,4065,12
001_N2_NT_OAP,4080,16
001_N2_NT_OAP,4095,17
001_N2_NT_OAP,4110,9
001_N2_NT_OAP,4125,14
001_N2_NT_OAP,4140,10
001_N2_NT_OAP,4155,17
001_N2_NT_OAP,4170,11
001_N2_NT_OAP,4185,18
001_N2_NT_OAP,4200,17
001_N2_NT_OAP,4215,19
001_N2_NT_OAP,4230,12
001_N2_NT_OAP,4245,9
001_N2_NT_OAP,4260,11
001_N2_NT_OAP,4275,3
001_N2_NT_OAP,4290,13
001_N2_NT_OAP,4305,7
001_N2_NT_OAP,4320,5
001_N2_NT_OAP,4335,8
001_N2_NT_OAP,4350,7
001_N2_NT_OAP,4365,7
001_N2_NT_OAP,4380,11
001_N2_NT_OAP,4395,8
001_N2_NT_OAP,4410,8
001_N2_NT_OAP,4425,5
001_N2_NT_OAP,4440,13
001_N2_NT_OAP,4455,7
001_N2_NT_OAP,4470,14
001_N2_NT_OAP,4485,10
001_N2_NT_OAP,4500,6
001_N2_NT_OAP,4515,10
001_N2_NT_OAP,4530,11
001_N2_NT_OAP,4545,9
001_N2_NT_OAP,4560,6
001_N2_NT_OAP,4575,4
001_N2_NT_OAP,4590,4
001_N2_NT_OAP,4605,6
001_N2_NT_OAP,4620,8
001_N2_NT_OAP,4635,10
001_N2_NT_OAP,4650,10
001_N2_NT_OAP,4665,10
001_N2_NT_OAP,4680,16
001_N2_NT_OAP,4695,18
001_N2_NT_OAP,4710,16
001_N2_NT_OAP,4725,8
001_N2_NT_OAP,4740,11
001_N2_NT_OAP,4755,9
001_N2_NT_OAP,4770,8
001_N2_NT_OAP,4785,12
001_N2_NT_OAP,4800,14
001_N2_NT_OAP,4815,12
001_N2_NT_OAP,4830,6
001_N2_NT_OAP,4845,8
001_N2_NT_OAP,4860,11
001_N2_NT_OAP,4875,9
001_N2_NT_OAP,4890,6
001_N2_NT_OAP,4905,9
001_N2_NT_OAP,4920,8
001_N2_NT_OAP,4935,6
001_N2_NT_OAP,4950,4
001_N2_NT_OAP,4965,8
001_N2_NT_OAP,4980,11
001_N2_NT_OAP,4995,8
001_N2_NT_OAP,5010,5
001_N2_NT_OAP,5025,6
001_N2_NT_OAP,5040,7
001_N2_NT_OAP,5055,9
001_N2_NT_OAP,5070,10
001_N2_NT_OAP,5085,10
001_N2_NT_OAP,5100,5
001_N2_NT_OAP,5115,9
001_N2_NT_OAP,5130,8
001_N2_NT_OAP,5145,12
001_N2_NT_OAP,5160,16
001_N2_NT_OAP,5175,6
001_N2_NT_OAP,5190,3
001_N2_NT_OAP,5205,3
001_N2_NT_OAP,5220,9
001_N2_NT_OAP,5235,10
001_N2_NT_OAP,5250,12
001_N2_NT_OAP,5265,12
001_N2_NT_OAP,5280,11
001_N2_NT_OAP,5295,7
001_N2_NT_OAP,5310,10
001_N2_NT_OAP,5325,7
001_N2_NT_OAP,5340,6
001_N2_NT_OAP,5355,12
002_N2_ETOH_OAP,195,56
002_N2_ETOH_OAP,210,44
002_N2_ETOH_OAP,225,45
002_N2_ETOH_OAP,240,53
002_N2_ETOH_OAP,255,50
002_N2_ETOH_OAP,270,42
002_N2_ETOH_OAP,285,43
002_N2_ETOH_OAP,300,45
002_N2_ETOH_OAP,315,40
002_N2_ETOH_OAP,330,45
002_N2_ETOH_OAP,345,42
002_N2_ETOH_OAP,360,44
002_N2_ETOH_OAP,375,51
002_N2_ETOH_OAP,390,49
002_N2_ETOH_OAP,405,64
002_N2_ETOH_OAP,420,58
002_N2_ETOH_OAP,435,55
002_N2_ETOH_OAP,450,49
002_N2_ETOH_OAP,465,44
002_N2_ETOH_OAP,480,43
002_N2_ETOH_OAP,495,49
002_N2_ETOH_OAP,510,41
002_N2_ETOH_OAP,525,44
002_N2_ETOH_OAP,540,48
002_N2_ETOH_OAP,555,40
002_N2_ETOH_OAP,570,50
002_N2_ETOH_OAP,585,42
002_N2_ETOH_OAP,600,34
002_N2_ETOH_OAP,615,42
002_N2_ETOH_OAP,630,36
002_N2_ETOH_OAP,645,36
002_N2_ETOH_OAP,660,35
002_N2_ETOH_OAP,675,35
002_N2_ETOH_OAP,690,34
002_N2_ETOH_OAP,705,36
002_N2_ETOH_OAP,720,36
002_N2_ETOH_OAP,735,38
002_N2_ETOH_OAP,750,33
002_N2_ETOH_OAP,765,29
002_N2_ETOH_OAP,780,30
002_N2_ETOH_OAP,795,34
002_N2_ETOH_OAP,810,42
002_N2_ETOH_OAP,825,36
002_N2_ETOH_OAP,840,30
002_N2_ETOH_OAP,855,32
002_N2_ETOH_OAP,870,26
002_N2_ETOH_OAP,885,29
002_N2_ETOH_OAP,900,32
002_N2_ETOH_OAP,915,31
002_N2_ETOH_OAP,930,32
002_N2_ETOH_OAP,945,31
002_N2_ETOH_OAP,960,36
002_N2_ETOH_OAP,975,37
002_N2_ETOH_OAP,990,37
002_N2_ETOH_OAP,1005,42
002_N2_ETOH_OAP,1020,45
002_N2_ETOH_OAP,1035,38
002_N2_ETOH_OAP,1050,41
002_N2_ETOH_OAP,1065,41
002_N2_ETOH_OAP,1080,40
002_N2_ETOH_OAP,1095,40
002_N2_ETOH_OAP,1110,30
002_N2_ETOH_OAP,1125,38
002_N2_ETOH_OAP,1140,30
002_N2_ETOH_OAP,1155,39
002_N2_ETOH_OAP,1170,33
002_N2_ETOH_OAP,1185,39
002_N2_ETOH_OAP,1200,38
002_N2_ETOH_OAP,1215,36
002_N2_ETOH_OAP,1230,37
002_N2_ETOH_OAP,1245,32
002_N2_ETOH_OAP,1260,36
002_N2_ETOH_OAP,1275,42
002_N2_ETOH_OAP,1290,40
002_N2_ETOH_OAP,1305,39
002_N2_ETOH_OAP,1320,36
002_N2_ETOH_OAP,1335,32
002_N2_ETOH_OAP,1350,34
002_N2_ETOH_OAP,1365,38
002_N2_ETOH_OAP,1380,35
002_N2_ETOH_OAP,1395,34
002_N2_ETOH_OAP,1410,33
002_N2_ETOH_OAP,1425,38
002_N2_ETOH_OAP,1440,41
002_N2_ETOH_OAP,1455,38
002_N2_ETOH_OAP,1470,37
002_N2_ETOH_OAP,1485,42
002_N2_ETOH_OAP,1500,41
002_N2_ETOH_OAP,1515,41
002_N2_ETOH_OAP,1530,43
002_N2_ETOH_OAP,1545,41
002_N2_ETOH_OAP,1560,43
002_N2_ETOH_OAP,1575,41
002_N2_ETOH_OAP,1590,50
002_N2_ETOH_OAP,1605,44
002_N2_ETOH_OAP,1620,47
002_N2_ETOH_OAP,1635,41
002_N2_ETOH_OAP,1650,42
002_N2_ETOH_OAP,1665,39
002_N2_ETOH_OAP,1680,39
002_N2_ETOH_OAP,1695,35
002_N2_ETOH_OAP,1710,31
002_N2_ETOH_OAP,1725,26
002_N2_ETOH_OAP,1740,33
002_N2_ETOH_OAP,1755,30
002_N2_ETOH_OAP,1770,28
002_N2_ETOH_OAP,1785,31
002_N2_ETOH_OAP,1800,35
002_N2_ETOH_OAP,1815,34
002_N2_ETOH_OAP,1830,37
002_N2_ETOH_OAP,1845,30
002_N2_ETOH_OAP,1860,34
002_N2_ETOH_OAP,1875,37
002_N2_ETOH_OAP,1890,39
002_N2_ETOH_OAP,1905,42
002_N2_ETOH_OAP,1920,42
002_N2_ETOH_OAP,1935,43
002_N2_ETOH_OAP,1950,33
002_N2_ETOH_OAP,1965,37
002_N2_ETOH_OAP,1980,39
002_N2_ETOH_OAP,1995,41
002_N2_ETOH_OAP,2010,46
002_N2_ETOH_OAP,2025,49
002_N2_ETOH_OAP,2040,45
002_N2_ETOH_OAP,2055,38
002_N2_ETOH_OAP,2070,42
002_N2_ETOH_OAP,2085,37
002_N2_ETOH_OAP,2100,39
002_N2_ETOH_OAP,2115,32
002_N2_ETOH_OAP,2130,32
002_N2_ETOH_OAP,2145,36
002_N2_ETOH_OAP,2160,34
002_N2_ETOH_OAP,2175,41
002_N2_ETOH_OAP,2190,36
002_N2_ETOH_OAP,2205,35
002_N2_ETOH_OAP,2220,40
002_N2_ETOH_OAP,2235,32
002_N2_ETOH_OAP,2250,32
002_N2_ETOH_OAP,2265,31
002_N2_ETOH_OAP,2280,36
002_N2_ETOH_OAP,2295,31
002_N2_ETOH_OAP,2310,26
002_N2_ETOH_OAP,2325,26
002_N2_ETOH_OAP,2340,29
002_N2_ETOH_OAP,2355,25
002_N2_ETOH_OAP,2370,31
002_N2_ETOH_OAP,2385,41
002_N2_ETOH_OAP,2400,36
002_N2_ETOH_OAP,2415,37
002_N2_ETOH_OAP,2430,32
002_N2_ETOH_OAP,2445,34
002_N2_ETOH_OAP,2460,33
002_N2_ETOH_OAP,2475,33
002_N2_ETOH_OAP,2490,33
002_N2_ETOH_OAP,2505,36
002_N2_ETOH_OAP,2520,39
002_N2_ETOH_OAP,2535,37
002_N2_ETOH_OAP,2550,36
002_N2_ETOH_OAP,2565,43
002_N2_ETOH_OAP,2580,43
002_N2_ETOH_OAP,2595,44
002_N2_ETOH_OAP,2610,37
002_N2_ETOH_OAP,2625,37
002_N2_ETOH_OAP,2640,36
002_N2_ETOH_OAP,2655,39
002_N2_ETOH_OAP,2670,36
002_N2_ETOH_OAP,2685,43
002_N2_ETOH_OAP,2700,38
002_N2_ETOH_OAP,2715,36
002_N2_ETOH_OAP,2730,40
002_N2_ETOH_OAP,2745,36
002_N2_ETOH_OAP,2760,33
002_N2_ETOH_OAP,2775,38
002_N2_ETOH_OAP,2790,38
002_N2_ETOH_OAP,2805,37
002_N2_ETOH_OAP,2820,40
002_N2_ETOH_OAP,2835,33
002_N2_ETOH_OAP,2850,33
002_N2_ETOH_OAP,2865,31
002_N2_ETOH_OAP,2880,33
002_N2_ETOH_OAP,2895,32
002_N2_ETOH_OAP,2910,32
002_N2_ETOH_OAP,2925,30
002_N2_ETOH_OAP,2940,32
002_N2_ETOH_OAP,2955,37
002_N2_ETOH_OAP,2970,31
002_N2_ETOH_OAP,2985,30
002_N2_ETOH_OAP,3000,34
002_N2_ETOH_OAP,3015,33
002_N2_ETOH_OAP,3030,30
002_N2_ETOH_OAP,3045,24
002_N2_ETOH_OAP,3060,34
002_N2_ETOH_OAP,3075,32
002_N2_ETOH_OAP,3090,30
002_N2_ETOH_OAP,3105,24
002_N2_ETOH_OAP,3120,28
002_N2_ETOH_OAP,3135,25
002_N2_ETOH_OAP,3150,30
002_N2_ETOH_OAP,3165,27
002_N2_ETOH_OAP,3180,29
002_N2_ETOH_OAP,3195,27
002_N2_ETOH_OAP,3210,31
002_N2_ETOH_OAP,3225,22
002_N2_ETOH_OAP,3240,35
002_N2_ETOH_OAP,3255,28
002_N2_ETOH_OAP,3270,29
002_N2_ETOH_OAP,3285,27
002_N2_ETOH_OAP,3300,35
002_N2_ETOH_OAP,3315,28
002_N2_ETOH_OAP,3330,29
002_N2_ETOH_OAP,3345,29
002_N2_ETOH_OAP,3360,28
002_N2_ETOH_OAP,3375,34
002_N2_ETOH_OAP,3390,25
002_N2_ETOH_OAP,3405,26
002_N2_ETOH_OAP,3420,26
002_N2_ETOH_OAP,3435,31
002_N2_ETOH_OAP,3450,32
002_N2_ETOH_OAP,3465,27
002_N2_ETOH_OAP,3480,37
002_N2_ETOH_OAP,3495,30
002_N2_ETOH_OAP,3510,30
002_N2_ETOH_OAP,3525,30
002_N2_ETOH_OAP,3540,25
