group,Time_min,AvgActivity
001_N2_NT_OAP,3045,51
001_N2_NT_OAP,3060,44
001_N2_NT_OAP,3075,58
001_N2_NT_OAP,3090,64
001_N2_NT_OAP,3105,57
001_N2_NT_OAP,3120,64
001_N2_NT_OAP,3135,52
001_N2_NT_OAP,3150,66
001_N2_NT_OAP,3165,60
001_N2_NT_OAP,3180,57
001_N2_NT_OAP,3195,54
001_N2_NT_OAP,3210,65
001_N2_NT_OAP,3225,54
001_N2_NT_OAP,3240,53
001_N2_NT_OAP,3255,48
001_N2_NT_OAP,3270,51
001_N2_NT_OAP,3285,53
001_N2_NT_OAP,3300,54
001_N2_NT_OAP,3315,48
001_N2_NT_OAP,3330,60
001_N2_NT_OAP,3345,57
001_N2_NT_OAP,3360,54
001_N2_NT_OAP,3375,44
001_N2_NT_OAP,3390,37
001_N2_NT_OAP,3405,2
001_N2_NT_OAP,3420,2
001_N2_NT_OAP,3435,2
001_N2_NT_OAP,3450,6
001_N2_NT_OAP,3465,43
001_N2_NT_OAP,3480,40
001_N2_NT_OAP,3495,55
001_N2_NT_OAP,3510,45
001_N2_NT_OAP,3525,45
001_N2_NT_OAP,3540,40
001_N2_NT_OAP,3555,46
001_N2_NT_OAP,3570,40
001_N2_NT_OAP,3585,47
001_N2_NT_OAP,3600,39
001_N2_NT_OAP,3615,41
001_N2_NT_OAP,3630,34
001_N2_NT_OAP,3645,37
001_N2_NT_OAP,3660,40
001_N2_NT_OAP,3675,34
001_N2_NT_OAP,3690,36
001_N2_NT_OAP,3705,40
001_N2_NT_OAP,3720,34
001_N2_NT_OAP,3735,44
001_N2_NT_OAP,3750,50
001_N2_NT_OAP,3765,48
001_N2_NT_OAP,3780,51
001_N2_NT_OAP,3795,38
001_N2_NT_OAP,3810,51
001_N2_NT_OAP,3825,46
001_N2_NT_OAP,3840,44
001_N2_NT_OAP,3855,42
001_N2_NT_OAP,3870,50
001_N2_NT_OAP,3885,54
001_N2_NT_OAP,3900,53
001_N2_NT_OAP,3915,41
001_N2_NT_OAP,3930,41
001_N2_NT_OAP,3945,39
001_N2_NT_OAP,3960,44
001_N2_NT_OAP,3975,34
001_N2_NT_OAP,3990,42
001_N2_NT_OAP,4005,41
001_N2_NT_OAP,4020,39
001_N2_NT_OAP,4035,33
001_N2_NT_OAP,4050,30
001_N2_NT_OAP,4065,29
001_N2_NT_OAP,4080,39
001_N2_NT_OAP,4095,32
001_N2_NT_OAP,4110,34
001_N2_NT_OAP,4125,34
001_N2_NT_OAP,4140,36
001_N2_NT_OAP,4155,37
001_N2_NT_OAP,4170,41
001_N2_NT_OAP,4185,46
001_N2_NT_OAP,4200,38
001_N2_NT_OAP,4215,34
001_N2_NT_OAP,4230,41
001_N2_NT_OAP,4245,32
001_N2_NT_OAP,4260,34
001_N2_NT_OAP,4275,44
001_N2_NT_OAP,4290,30
001_N2_NT_OAP,4305,33
001_N2_NT_OAP,4320,38
001_N2_NT_OAP,4335,33
001_N2_NT_OAP,4350,40
001_N2_NT_OAP,4365,34
001_N2_NT_OAP,4380,34
001_N2_NT_OAP,4395,44
001_N2_NT_OAP,4410,33
001_N2_NT_OAP,4425,28
001_N2_NT_OAP,4440,37
001_N2_NT_OAP,4455,49
001_N2_NT_OAP,4470,33
001_N2_NT_OAP,4485,33
001_N2_NT_OAP,4500,28
001_N2_NT_OAP,4515,39
001_N2_NT_OAP,4530,37
001_N2_NT_OAP,4545,34
001_N2_NT_OAP,4560,26
001_N2_NT_OAP,4575,41
001_N2_NT_OAP,4590,41
001_N2_NT_OAP,4605,34
001_N2_NT_OAP,4620,28
001_N2_NT_OAP,4635,39
001_N2_NT_OAP,4650,35
001_N2_NT_OAP,4665,30
001_N2_NT_OAP,4680,26
001_N2_NT_OAP,4695,24
001_N2_NT_OAP,4710,27
001_N2_NT_OAP,4725,34
001_N2_NT_OAP,4740,19
001_N2_NT_OAP,4755,28
001_N2_NT_OAP,4770,31
001_N2_NT_OAP,4785,23
001_N2_NT_OAP,4800,26
001_N2_NT_OAP,4815,24
001_N2_NT_OAP,4830,33
001_N2_NT_OAP,4845,26
001_N2_NT_OAP,4860,22
001_N2_NT_OAP,4875,18
001_N2_NT_OAP,4890,28
001_N2_NT_OAP,4905,21
001_N2_NT_OAP,4920,26
001_N2_NT_OAP,4935,20
001_N2_NT_OAP,4950,25
001_N2_NT_OAP,4965,34
001_N2_NT_OAP,4980,30
001_N2_NT_OAP,4995,30
001_N2_NT_OAP,5010,27
001_N2_NT_OAP,5025,25
001_N2_NT_OAP,5040,32
001_N2_NT_OAP,5055,25
001_N2_NT_OAP,5070,24
001_N2_NT_OAP,5085,29
001_N2_NT_OAP,5100,27
001_N2_NT_OAP,5115,27
001_N2_NT_OAP,5130,27
001_N2_NT_OAP,5145,30
001_N2_NT_OAP,5160,30
001_N2_NT_OAP,5175,26
001_N2_NT_OAP,5190,32
001_N2_NT_OAP,5205,28
001_N2_NT_OAP,5220,40
001_N2_NT_OAP,5235,32
001_N2_NT_OAP,5250,38
001_N2_NT_OAP,5265,39
001_N2_NT_OAP,5280,29
001_N2_NT_OAP,5295,38
001_N2_NT_OAP,5310,28
002_N2_ETOH_OAP,195,16
002_N2_ETOH_OAP,210,20
002_N2_ETOH_OAP,225,18
002_N2_ETOH_OAP,240,12
002_N2_ETOH_OAP,255,15
002_N2_ETOH_OAP,270,16
002_N2_ETOH_OAP,285,18
002_N2_ETOH_OAP,300,20
002_N2_ETOH_OAP,315,11
002_N2_ETOH_OAP,330,13
002_N2_ETOH_OAP,345,17
002_N2_ETOH_OAP,360,10
002_N2_ETOH_OAP,375,12
002_N2_ETOH_OAP,390,14
002_N2_ETOH_OAP,405,14
002_N2_ETOH_OAP,420,20
002_N2_ETOH_OAP,435,12
002_N2_ETOH_OAP,450,10
002_N2_ETOH_OAP,465,10
002_N2_ETOH_OAP,480,12
002_N2_ETOH_OAP,495,15
002_N2_ETOH_OAP,510,18
002_N2_ETOH_OAP,525,14
002_N2_ETOH_OAP,540,16
002_N2_ETOH_OAP,555,12
002_N2_ETOH_OAP,570,11
002_N2_ETOH_OAP,585,12
002_N2_ETOH_OAP,600,13
002_N2_ETOH_OAP,615,11
002_N2_ETOH_OAP,630,11
002_N2_ETOH_OAP,645,18
002_N2_ETOH_OAP,660,18
002_N2_ETOH_OAP,675,20
002_N2_ETOH_OAP,690,13
002_N2_ETOH_OAP,705,9
002_N2_ETOH_OAP,720,11
002_N2_ETOH_OAP,735,8
002_N2_ETOH_OAP,750,8
002_N2_ETOH_OAP,765,9
002_N2_ETOH_OAP,780,10
002_N2_ETOH_OAP,795,8
002_N2_ETOH_OAP,810,9
002_N2_ETOH_OAP,825,14
002_N2_ETOH_OAP,840,11
002_N2_ETOH_OAP,855,7
002_N2_ETOH_OAP,870,8
002_N2_ETOH_OAP,885,8
002_N2_ETOH_OAP,900,11
002_N2_ETOH_OAP,915,5
002_N2_ETOH_OAP,930,7
002_N2_ETOH_OAP,945,8
002_N2_ETOH_OAP,960,14
002_N2_ETOH_OAP,975,10
002_N2_ETOH_OAP,990,10
002_N2_ETOH_OAP,1005,9
002_N2_ETOH_OAP,1020,10
002_N2_ETOH_OAP,1035,10
002_N2_ETOH_OAP,1050,8
002_N2_ETOH_OAP,1065,13
002_N2_ETOH_OAP,1080,10
002_N2_ETOH_OAP,1095,18
002_N2_ETOH_OAP,1110,14
002_N2_ETOH_OAP,1125,22
002_N2_ETOH_OAP,1140,18
002_N2_ETOH_OAP,1155,18
002_N2_ETOH_OAP,1170,10
002_N2_ETOH_OAP,1185,13
002_N2_ETOH_OAP,1200,12
002_N2_ETOH_OAP,1215,8
002_N2_ETOH_OAP,1230,16
002_N2_ETOH_OAP,1245,18
002_N2_ETOH_OAP,1260,16
002_N2_ETOH_OAP,1275,22
002_N2_ETOH_OAP,1290,24
002_N2_ETOH_OAP,1305,24
002_N2_ETOH_OAP,1320,20
002_N2_ETOH_OAP,1335,17
002_N2_ETOH_OAP,1350,12
002_N2_ETOH_OAP,1365,18
002_N2_ETOH_OAP,1380,16
002_N2_ETOH_OAP,1395,11
002_N2_ETOH_OAP,1410,18
002_N2_ETOH_OAP,1425,16
002_N2_ETOH_OAP,1440,17
002_N2_ETOH_OAP,1455,18
002_N2_ETOH_OAP,1470,30
002_N2_ETOH_OAP,1485,21
002_N2_ETOH_OAP,1500,26
002_N2_ETOH_OAP,1515,18
002_N2_ETOH_OAP,1530,22
002_N2_ETOH_OAP,1545,21
002_N2_ETOH_OAP,1560,21
002_N2_ETOH_OAP,1575,14
002_N2_ETOH_OAP,1590,16
002_N2_ETOH_OAP,1605,16
002_N2_ETOH_OAP,1620,17
002_N2_ETOH_OAP,1635,14
002_N2_ETOH_OAP,1650,21
002_N2_ETOH_OAP,1665,23
002_N2_ETOH_OAP,1680,18
002_N2_ETOH_OAP,1695,20
002_N2_ETOH_OAP,1710,22
002_N2_ETOH_OAP,1725,15
002_N2_ETOH_OAP,1740,19
002_N2_ETOH_OAP,1755,20
002_N2_ETOH_OAP,1770,14
002_N2_ETOH_OAP,1785,22
002_N2_ETOH_OAP,1800,17
002_N2_ETOH_OAP,1815,19
002_N2_ETOH_OAP,1830,31
002_N2_ETOH_OAP,1845,24
002_N2_ETOH_OAP,1860,24
002_N2_ETOH_OAP,1875,20
002_N2_ETOH_OAP,1890,17
002_N2_ETOH_OAP,1905,24
002_N2_ETOH_OAP,1920,26
002_N2_ETOH_OAP,1935,23
002_N2_ETOH_OAP,1950,22
002_N2_ETOH_OAP,1965,20
002_N2_ETOH_OAP,1980,16
002_N2_ETOH_OAP,1995,18
002_N2_ETOH_OAP,2010,14
002_N2_ETOH_OAP,2025,16
002_N2_ETOH_OAP,2040,14
002_N2_ETOH_OAP,2055,16
002_N2_ETOH_OAP,2070,19
002_N2_ETOH_OAP,2085,24
002_N2_ETOH_OAP,2100,24
002_N2_ETOH_OAP,2115,20
002_N2_ETOH_OAP,2130,20
002_N2_ETOH_OAP,2145,15
002_N2_ETOH_OAP,2160,20
002_N2_ETOH_OAP,2175,20
002_N2_ETOH_OAP,2190,25
002_N2_ETOH_OAP,2205,25
002_N2_ETOH_OAP,2220,29
002_N2_ETOH_OAP,2235,19
002_N2_ETOH_OAP,2250,22
002_N2_ETOH_OAP,2265,22
002_N2_ETOH_OAP,2280,23
002_N2_ETOH_OAP,2295,24
002_N2_ETOH_OAP,2310,28
002_N2_ETOH_OAP,2325,24
002_N2_ETOH_OAP,2340,20
002_N2_ETOH_OAP,2355,20
002_N2_ETOH_OAP,2370,28
002_N2_ETOH_OAP,2385,22
002_N2_ETOH_OAP,2400,21
002_N2_ETOH_OAP,2415,19
002_N2_ETOH_OAP,2430,30
002_N2_ETOH_OAP,2445,26
002_N2_ETOH_OAP,2460,23
002_N2_ETOH_OAP,2475,28
002_N2_ETOH_OAP,2490,26
002_N2_ETOH_OAP,2505,26
002_N2_ETOH_OAP,2520,27
002_N2_ETOH_OAP,2535,22
002_N2_ETOH_OAP,2550,20
002_N2_ETOH_OAP,2565,22
002_N2_ETOH_OAP,2580,22
002_N2_ETOH_OAP,2595,17
002_N2_ETOH_OAP,2610,15
002_N2_ETOH_OAP,2625,14
002_N2_ETOH_OAP,2640,14
002_N2_ETOH_OAP,2655,19
002_N2_ETOH_OAP,2670,11
002_N2_ETOH_OAP,2685,12
002_N2_ETOH_OAP,2700,12
002_N2_ETOH_OAP,2715,15
002_N2_ETOH_OAP,2730,9
002_N2_ETOH_OAP,2745,13
002_N2_ETOH_OAP,2760,15
002_N2_ETOH_OAP,2775,18
002_N2_ETOH_OAP,2790,20
002_N2_ETOH_OAP,2805,12
002_N2_ETOH_OAP,2820,15
002_N2_ETOH_OAP,2835,24
002_N2_ETOH_OAP,2850,20
002_N2_ETOH_OAP,2865,19
002_N2_ETOH_OAP,2880,15
002_N2_ETOH_OAP,2895,15
002_N2_ETOH_OAP,2910,13
002_N2_ETOH_OAP,2925,13
002_N2_ETOH_OAP,2940,16
002_N2_ETOH_OAP,2955,15
002_N2_ETOH_OAP,2970,10
002_N2_ETOH_OAP,2985,15
002_N2_ETOH_OAP,3000,12
002_N2_ETOH_OAP,3015,16
002_N2_ETOH_OAP,3030,12
002_N2_ETOH_OAP,3045,12
002_N2_ETOH_OAP,3060,12
002_N2_ETOH_OAP,3075,20
002_N2_ETOH_OAP,3090,14
002_N2_ETOH_OAP,3105,26
002_N2_ETOH_OAP,3120,19
002_N2_ETOH_OAP,3135,23
002_N2_ETOH_OAP,3150,15
002_N2_ETOH_OAP,3165,12
002_N2_ETOH_OAP,3180,17
002_N2_ETOH_OAP,3195,16
002_N2_ETOH_OAP,3210,15
002_N2_ETOH_OAP,3225,13
002_N2_ETOH_OAP,3240,12
002_N2_ETOH_OAP,3255,15
002_N2_ETOH_OAP,3270,13
002_N2_ETOH_OAP,3285,17
002_N2_ETOH_OAP,3300,13
002_N2_ETOH_OAP,3315,10
002_N2_ETOH_OAP,3330,12
002_N2_ETOH_OAP,3345,13
002_N2_ETOH_OAP,3360,10
002_N2_ETOH_OAP,3375,13
002_N2_ETOH_OAP,3390,8
002_N2_ETOH_OAP,3405,1
002_N2_ETOH_OAP,3420,1
002_N2_ETOH_OAP,3435,0
002_N2_ETOH_OAP,3450,1
002_N2_ETOH_OAP,3465,10
002_N2_ETOH_OAP,3480,12
002_N2_ETOH_OAP,3495,11
002_N2_ETOH_OAP,3510,14
002_N2_ETOH_OAP,3525,10
002_N2_ETOH_OAP,3540,7
002_N2_ETOH_OAP,3555,9
002_N2_ETOH_OAP,3570,8
002_N2_ETOH_OAP,3585,7
