group,Time_min,AvgActivity
001_N2_NT_OAP,5160,51
001_N2_NT_OAP,5190,81
001_N2_NT_OAP,5220,78
001_N2_NT_OAP,5250,61
002_N2_ETOH_OAP,210,94
002_N2_ETOH_OAP,240,129
002_N2_ETOH_OAP,270,115
002_N2_ETOH_OAP,300,133
002_N2_ETOH_OAP,330,106
002_N2_ETOH_OAP,360,106
002_N2_ETOH_OAP,390,103
002_N2_ETOH_OAP,420,100
002_N2_ETOH_OAP,450,82
002_N2_ETOH_OAP,480,114
002_N2_ETOH_OAP,510,118
002_N2_ETOH_OAP,540,130
002_N2_ETOH_OAP,570,116
002_N2_ETOH_OAP,600,108
002_N2_ETOH_OAP,630,125
002_N2_ETOH_OAP,660,133
002_N2_ETOH_OAP,690,131
002_N2_ETOH_OAP,720,135
002_N2_ETOH_OAP,750,135
002_N2_ETOH_OAP,780,133
002_N2_ETOH_OAP,810,101
002_N2_ETOH_OAP,840,113
002_N2_ETOH_OAP,870,109
002_N2_ETOH_OAP,900,139
002_N2_ETOH_OAP,930,121
002_N2_ETOH_OAP,960,134
002_N2_ETOH_OAP,990,140
002_N2_ETOH_OAP,1020,139
002_N2_ETOH_OAP,1050,138
002_N2_ETOH_OAP,1080,146
002_N2_ETOH_OAP,1110,144
002_N2_ETOH_OAP,1140,138
002_N2_ETOH_OAP,1170,151
002_N2_ETOH_OAP,1200,142
002_N2_ETOH_OAP,1230,143
002_N2_ETOH_OAP,1260,168
002_N2_ETOH_OAP,1290,163
002_N2_ETOH_OAP,1320,149
002_N2_ETOH_OAP,1350,151
002_N2_ETOH_OAP,1380,162
002_N2_ETOH_OAP,1410,160
002_N2_ETOH_OAP,1440,146
002_N2_ETOH_OAP,1470,136
002_N2_ETOH_OAP,1500,156
002_N2_ETOH_OAP,1530,153
002_N2_ETOH_OAP,1560,133
002_N2_ETOH_OAP,1590,139
002_N2_ETOH_OAP,1620,142
002_N2_ETOH_OAP,1650,145
002_N2_ETOH_OAP,1680,142
002_N2_ETOH_OAP,1710,144
002_N2_ETOH_OAP,1740,144
002_N2_ETOH_OAP,1770,142
002_N2_ETOH_OAP,1800,150
002_N2_ETOH_OAP,1830,139
002_N2_ETOH_OAP,1860,142
002_N2_ETOH_OAP,1890,152
002_N2_ETOH_OAP,1920,165
002_N2_ETOH_OAP,1950,161
002_N2_ETOH_OAP,1980,137
002_N2_ETOH_OAP,2010,143
002_N2_ETOH_OAP,2040,149
002_N2_ETOH_OAP,2070,159
002_N2_ETOH_OAP,2100,141
002_N2_ETOH_OAP,2130,181
002_N2_ETOH_OAP,2160,160
002_N2_ETOH_OAP,2190,147
002_N2_ETOH_OAP,2220,155
002_N2_ETOH_OAP,2250,150
002_N2_ETOH_OAP,2280,131
002_N2_ETOH_OAP,2310,126
002_N2_ETOH_OAP,2340,126
